
Fixed structural parameters:
  gamma_k    = 0.112026
  gamma_l    = 0.855904
  rho        = 0.815676
  sigma_eps  = 0.038788
  sigma      = 3.144978
  exit_rate  = 0.074896

Calibration targets (base period):
  med_sga/rev  = 0.1834
  med_capx/rev = 0.0451
  pct_neg      = 10.8529%

Loaded pct_neg by year: 40 years (1980-2019)

Loaded initial guesses from /gpfs/projects/p32386/Demand_Shifting/calibrated_investment_params.csv:
  alpha_a_init = 0.458870
  alpha_k_init = 0.732125
  phi_0_init   = 0.100000

Initializing warm start ...

============================================================
Phase 1: Differential Evolution (global search)
  Targets: adv/rev=0.1834  capx/rev=0.0451  pct_neg@1980=10.85%
============================================================
aa=0.6264 ak=0.7379 phi0=-0.0130 | adv=0.1639 inv=0.0447 pct=21.65% | ||res||=0.151977
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.777e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 8.840e-07
BAD EQM! Bounds: m=0.925 k=0.000
aa=0.3768 ak=0.7206 phi0=0.1444 | adv=0.1095 inv=0.0433 pct=11.09% | ||res||=0.404985
aa=0.4739 ak=0.8658 phi0=-0.2494 | adv=0.0841 inv=0.0410 pct=7.49% | ||res||=0.549657
aa=0.7596 ak=0.6083 phi0=-0.2297 | adv=0.1397 inv=0.0329 pct=15.99% | ||res||=0.362961
aa=0.1822 ak=0.5567 phi0=-0.2088 | adv=0.0328 inv=0.0290 pct=7.49% | ||res||=0.895905
aa=0.5274 ak=0.8060 phi0=-0.3762 | adv=0.0735 inv=0.0368 pct=7.49% | ||res||=0.627303
aa=0.1853 ak=0.8421 phi0=0.0367 | adv=0.0457 inv=0.0475 pct=7.49% | ||res||=0.753817
aa=0.4859 ak=0.2683 phi0=-0.1146 | adv=0.1030 inv=0.0140 pct=14.42% | ||res||=0.816926
aa=0.7560 ak=0.8636 phi0=-0.2600 | adv=0.1343 inv=0.0417 pct=13.94% | ||res||=0.279540
aa=0.2003 ak=0.6530 phi0=0.8494 | adv=0.1030 inv=0.0376 pct=16.36% | ||res||=0.471587
aa=0.8529 ak=0.1147 phi0=-0.2858 | adv=0.1372 inv=0.0057 pct=16.04% | ||res||=0.909807
aa=0.2003 ak=0.6530 phi0=0.8494 | adv=0.1030 inv=0.0376 pct=16.36% | ||res||=0.471587
aa=0.8530 ak=0.1579 phi0=-0.2809 | adv=0.1385 inv=0.0080 pct=16.67% | ||res||=0.860822
aa=0.1811 ak=0.5027 phi0=0.7645 | adv=0.0856 inv=0.0307 pct=14.96% | ||res||=0.622187
aa=0.8683 ak=0.8929 phi0=-0.0169 | adv=0.2946 inv=0.0625 pct=34.99% | ||res||=0.758838
aa=0.4757 ak=0.7647 phi0=0.8075 | adv=0.3539 inv=0.0564 pct=44.82% | ||res||=1.020709
aa=0.3932 ak=0.7476 phi0=0.0943 | adv=0.1086 inv=0.0448 pct=10.50% | ||res||=0.408064
aa=0.2900 ak=0.7891 phi0=-0.2713 | adv=0.0483 inv=0.0415 pct=7.49% | ||res||=0.741665
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.121e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 8.328e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.706e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.789e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.425e-02
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.425e-02
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.425e-02
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.425e-02
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.366e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.661e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.411e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.456e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.004e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 5.456e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 7.498e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.122e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 8.904e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.527e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.369e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.356e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.313e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.512e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 8.218e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.378e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.268e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.325e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.236e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.384e+00
